status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
901254039928419_1409222772464874,"Know about upcoming State Startup ranking, view parameters & give suggestions! bit.ly/2fz1mQz #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1409222605798224/?type=3,2017-09-30 03:53:25,37,0,15,35,0,2,0,0,0,0
901254039928419_1407934162593735,Incubation support to #startups. #StartupIndia,StartupThursday on Incubation support to start-ups,video,https://www.facebook.com/StartupIndia/videos/1407934162593735/,2017-09-28 09:02:56,133,2,9,129,1,3,0,0,0,0
901254039928419_1407897912597360,This #StartupThursday get info on the value proposition provided by incubators to #startups.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1407897859264032/?type=3,2017-09-28 07:51:01,40,0,5,39,1,0,0,0,0,0
901254039928419_1407093372677814,Bengaluru-Boston Biotech Gateway aims to encourage #startups in the Biotechnology Sector. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1407093309344487/?type=3,2017-09-27 05:29:08,58,3,8,55,0,3,0,0,0,0
901254039928419_1407026352684516,Join #StartupIndia Learning & Development program & understand the fundamentals of finance. http://www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1407026306017854/?type=3,2017-09-27 02:45:31,57,0,8,54,1,2,0,0,0,0
901254039928419_1407893802597771,Tune in this #StartupThursday and know about incubation support to #startups via industry-academia collaboration #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1407893392597812/?type=3,2017-09-28 07:43:02,24,0,4,24,0,0,0,0,0,0
901254039928419_1405720136148471,Suresh Prabhu talks about the importance of tinkering change within the #startup ecosystem. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1405720036148481/?type=3,2017-09-25 07:25:50,52,0,7,50,2,0,0,0,0,0
901254039928419_1405544396166045,"A total of ₹1,970.95 Cr. committed in 62 various funds by Govt through ASPIRE Fund, India Aspiration Fund and FFS. #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1405544282832723/?type=3,2017-09-25 00:23:53,78,7,15,77,1,0,0,0,0,0
901254039928419_1403377033049448,"#StartupIndia has recognised over 4,000 #startups. Get your #startup 
recognised at bit.ly/2omLwLE",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1403376866382798/?type=3,2017-09-22 08:03:36,126,13,27,123,3,0,0,0,0,0
901254039928419_1403238033063348,India Israel Innovation Bridge: Calling all change makers. It's your chance to change the world.#StartupIndia https://www.startupindiahub.org.in/content/sih/en/reources/innovation-challenge.html,India Israel Innovation Bridge,video,https://www.facebook.com/StartupIndia/videos/1403238033063348/,2017-09-22 03:17:21,58,2,13,55,3,0,0,0,0,0
901254039928419_1402561756464309,Watch how Atal Innovation Mission supports & promotes #startups in India. #StartupThursday #StartupIndia,,video,https://www.facebook.com/StartupIndia/videos/1402561756464309/,2017-09-21 07:06:10,148,4,70,144,2,2,0,0,0,0
901254039928419_1402514133135738,Indian #startup Kheyti wins a prestigious award in Israel. Sathya Raghu V Mokkapati @Saumya @knrkaushik  http://www.financialexpress.com/industry/indian-start-up-kheyti-wins-prestigious-award-in-israel/858998/ … #StartupIndia,Indian start-up Kheyti wins prestigious award in Israel,link,http://www.financialexpress.com/industry/indian-start-up-kheyti-wins-prestigious-award-in-israel/858998/,2017-09-21 05:28:28,79,0,16,74,0,4,0,1,0,0
901254039928419_1402416793145472,"This #StartupThursday, know how Atal Innovation Mission supports #startups across the country. #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1402416729812145/?type=3,2017-09-21 01:51:28,33,4,3,32,0,1,0,0,0,0
901254039928419_1401749899878828,Join the #StartupThursday session to get all the information on Atal Innovation Mission. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1401749816545503/?type=3,2017-09-20 06:31:21,30,0,4,27,1,0,2,0,0,0
